Simulation Run,Day,Agent Type,Satisfaction,Rejected Received Exchanges,Accepted Received Exchanges,Rejected Requested Exchanges,Accepted Requested Exchanges,Social Capital Exchanges,No Social Capital Exchanges,Unspent Social Capital
1,6,2,0.75,34,1,13,1,0,1,3
1,6,2,0.75,8,2,17,2,2,0,3
1,6,2,0.75,13,0,30,3,0,0,3
1,6,2,0.75,28,1,10,1,0,1,4
1,6,1,0.5,43,1,15,1,0,1,2
1,6,2,0.5,21,1,19,1,0,1,1
1,6,1,0.75,29,2,7,0,0,2,3
1,6,2,0.75,7,1,16,2,0,1,4
1,6,1,0.75,14,0,25,1,0,0,2
1,6,2,0.5,19,2,19,0,0,2,5
1,6,2,0.75,26,3,15,0,0,3,4
1,6,2,0.75,10,2,23,1,1,1,2
1,6,1,1.0,7,1,10,2,0,1,5
1,6,1,0.5,32,0,13,0,0,0,5
1,6,2,0.75,20,2,13,1,1,1,3
1,6,1,1.0,7,1,6,3,0,1,2
1,6,1,0.75,13,1,25,1,0,1,1
1,6,2,0.75,10,3,16,0,0,3,4
1,6,1,0.75,4,1,26,1,0,1,2
1,6,2,0.5,20,2,22,1,1,1,1
1,6,2,0.5,46,0,14,1,0,0,2
1,6,1,0.75,3,0,23,3,0,0,3
1,6,1,0.5,16,1,21,1,0,1,3
1,6,2,0.75,10,1,17,0,0,1,1
1,6,2,1.0,8,2,6,2,0,2,1
1,6,1,0.75,5,1,20,1,0,1,1
1,6,2,1.0,14,2,5,3,1,1,4
1,6,2,0.75,4,1,25,2,0,1,2
1,6,2,1.0,2,0,8,3,0,0,1
1,6,2,0.5,2,0,30,1,0,0,2
1,6,2,0.5,16,2,24,1,1,1,4
1,6,2,0.5,11,0,25,2,0,0,3
1,6,2,0.75,15,0,25,1,0,0,2
1,6,1,0.5,13,1,18,1,0,1,1
1,6,1,0.75,4,0,31,1,0,0,2
1,6,1,0.75,23,3,12,0,0,3,4
1,6,1,1.0,28,1,10,2,0,1,4
1,6,1,1.0,1,1,3,2,0,1,2
1,6,2,0.25,32,2,15,0,1,1,4
1,6,2,0.5,17,2,30,1,2,0,2
1,6,1,1.0,4,1,2,2,0,1,2
1,6,1,0.75,6,2,26,1,0,2,3
1,6,2,0.75,21,2,21,1,1,1,0
1,6,1,0.5,10,0,29,1,0,0,1
1,6,2,1.0,30,2,10,2,0,2,3
1,6,1,0.75,39,2,11,1,0,2,0
1,6,1,0.75,21,2,18,0,0,2,2
1,6,1,1.0,1,1,1,3,0,1,4
1,6,2,0.75,11,1,19,2,1,0,2
1,6,1,0.5,32,1,16,0,0,1,4
1,6,1,0.5,13,2,17,0,0,2,5
1,6,2,0.75,15,2,18,0,0,2,5
1,6,1,1.0,5,2,9,2,0,2,5
1,6,2,0.75,4,3,28,2,2,1,2
1,6,1,1.0,6,0,1,3,0,0,3
1,6,1,0.75,12,2,21,1,0,2,4
1,6,1,0.75,5,1,23,1,0,1,3
1,6,2,0.75,41,1,7,1,0,1,3
1,6,2,0.75,3,0,11,2,0,0,2
1,6,1,0.75,14,1,14,2,0,1,2
1,6,1,1.0,10,1,9,1,0,1,2
1,6,1,0.75,24,2,10,1,0,2,4
1,6,1,0.5,20,1,19,1,0,1,4
1,6,2,0.5,23,2,19,0,1,1,2
1,6,1,0.75,17,0,3,2,0,0,4
1,6,1,1.0,17,2,7,2,0,2,2
1,6,2,0.75,6,1,21,1,0,1,4
1,6,2,1.0,5,1,6,2,0,1,3
1,6,2,1.0,8,2,5,1,0,2,3
1,6,1,0.5,52,1,15,1,0,1,3
1,6,1,0.5,47,2,12,0,0,2,3
1,6,1,0.75,29,1,17,2,0,1,0
1,6,1,0.75,1,1,22,1,0,1,3
1,6,1,0.75,4,0,16,2,0,0,1
1,6,1,0.75,14,1,32,1,0,1,1
1,6,1,0.5,3,1,21,1,0,1,1
1,6,1,0.75,13,0,7,2,0,0,2
1,6,1,0.75,10,0,9,2,0,0,2
1,6,2,0.75,22,2,22,1,1,1,2
1,6,2,0.75,10,4,12,1,2,2,4
